segment,theme,mentions,share_%
Anker,battery,25,59.5
Anker,price,24,57.1
Anker,durability,28,66.7
Anker,connectivity,24,57.1
Anker,sound,40,95.2
Anker,design,12,28.6
Bose,battery,188,47.7
Bose,price,150,38.1
Bose,durability,226,57.4
Bose,connectivity,218,55.3
Bose,sound,351,89.1
Bose,design,125,31.7
JBL,battery,193,44.8
JBL,price,129,29.9
JBL,durability,217,50.3
JBL,connectivity,196,45.5
JBL,sound,367,85.2
JBL,design,121,28.1
Sony,battery,137,52.9
Sony,price,100,38.6
Sony,durability,154,59.5
Sony,connectivity,128,49.4
Sony,sound,227,87.6
Sony,design,85,32.8
Unknown,battery,1187,34.3
Unknown,price,741,21.4
Unknown,durability,1309,37.8
Unknown,connectivity,1105,31.9
Unknown,sound,2389,68.9
Unknown,design,533,15.4
