game_id,season,date,home,away,score_home,score_away,moneyline_home,moneyline_away,spread,total
1,2008,2007-10-30,sa,por,106,97,-1400.0,900.0,13.0,189.5
2,2008,2007-10-30,gs,utah,96,117,-120.0,100.0,1.0,212.0
3,2008,2007-10-30,lal,hou,93,95,190.0,-230.0,5.0,199.0
4,2008,2007-10-31,tor,phi,106,97,-305.0,255.0,6.5,191.0
5,2008,2007-10-31,ind,wsh,119,110,105.0,-125.0,1.5,203.5
6,2008,2007-10-31,orl,mil,102,83,-295.0,245.0,6.5,197.0
7,2008,2007-10-31,bkn,chi,112,103,-125.0,105.0,1.5,186.0
8,2008,2007-10-31,cle,dal,74,92,120.0,-140.0,2.5,184.0
9,2008,2007-10-31,mem,sa,101,104,210.0,-250.0,6.5,201.0
10,2008,2007-10-31,no,sac,104,90,-525.0,425.0,9.5,190.5
11,2008,2007-10-31,den,okc,120,103,-825.0,625.0,11.5,217.5
12,2008,2007-11-01,mia,det,80,91,160.0,-190.0,4.0,178.5
13,2008,2007-11-01,utah,hou,95,106,-160.0,140.0,3.0,193.0
14,2008,2007-11-01,okc,phx,99,106,575.0,-725.0,12.0,224.5
15,2008,2007-11-02,cha,mil,102,99,-170.0,150.0,4.0,196.5
16,2008,2007-11-02,orl,det,92,116,-170.0,150.0,4.0,183.5
17,2008,2007-11-02,ind,mia,87,85,-275.0,235.0,6.5,192.0
18,2008,2007-11-02,bkn,tor,69,106,-175.0,155.0,4.0,193.5
19,2008,2007-11-02,atl,dal,101,94,210.0,-250.0,5.5,191.0
20,2008,2007-11-02,cle,ny,110,106,-250.0,210.0,6.0,186.0
21,2008,2007-11-02,bos,wsh,103,83,-335.0,285.0,7.5,205.5
22,2008,2007-11-02,no,por,113,93,-325.0,275.0,7.5,203.0
23,2008,2007-11-02,min,den,91,99,315.0,-375.0,7.5,208.5
24,2008,2007-11-02,chi,phi,85,96,-500.0,400.0,9.5,190.0
25,2008,2007-11-02,sa,sac,96,80,-2000.0,1200.0,14.5,191.0
26,2008,2007-11-02,phx,lal,98,119,-435.0,365.0,8.0,215.5
27,2008,2007-11-02,lac,gs,120,114,-125.0,105.0,1.5,211.0
28,2008,2007-11-03,phi,bkn,88,93,130.0,-150.0,3.0,186.5
29,2008,2007-11-03,wsh,orl,82,94,-130.0,110.0,1.0,197.5
30,2008,2007-11-03,mem,ind,111,121,-220.0,180.0,5.5,211.5
31,2008,2007-11-03,mil,chi,78,72,155.0,-175.0,4.0,193.0
32,2008,2007-11-03,hou,por,89,80,-1000.0,700.0,11.5,203.0
33,2008,2007-11-03,dal,sac,123,102,-3000.0,1500.0,15.5,189.0
34,2008,2007-11-03,utah,gs,133,110,-550.0,425.0,9.5,215.5
35,2008,2007-11-04,tor,bos,95,98,-125.0,105.0,1.5,194.0
36,2008,2007-11-04,lac,okc,115,101,-300.0,250.0,6.5,208.0
37,2008,2007-11-04,ny,min,97,93,-425.0,355.0,9.0,193.0
38,2008,2007-11-04,mia,cha,88,90,-160.0,140.0,3.5,186.5
39,2008,2007-11-04,det,atl,92,91,-350.0,290.0,8.0,191.0
40,2008,2007-11-04,den,no,88,93,-215.0,185.0,5.0,214.5
41,2008,2007-11-04,phx,cle,103,92,-350.0,290.0,7.5,205.0
42,2008,2007-11-04,lal,utah,119,109,-115.0,-105.0,1.0,205.5
43,2008,2007-11-05,dal,hou,107,98,-200.0,170.0,4.5,189.5
44,2008,2007-11-06,cha,phx,83,115,165.0,-195.0,4.0,207.0
45,2008,2007-11-06,bkn,atl,87,82,-190.0,160.0,4.0,188.5
46,2008,2007-11-06,ny,den,119,112,140.0,-160.0,3.0,211.0
47,2008,2007-11-06,min,orl,103,111,250.0,-300.0,6.5,186.5
48,2008,2007-11-06,mil,tor,112,85,140.0,-160.0,3.0,190.0
49,2008,2007-11-06,hou,sa,89,81,115.0,-135.0,2.0,183.5
50,2008,2007-11-06,chi,lac,91,97,-405.0,335.0,8.5,193.0
51,2008,2007-11-06,sac,okc,104,98,-130.0,110.0,2.0,208.0
52,2008,2007-11-06,gs,cle,104,108,-135.0,115.0,2.0,209.5
53,2008,2007-11-06,lal,no,104,118,-155.0,135.0,3.0,205.5
54,2008,2007-11-07,tor,orl,96,105,-200.0,170.0,4.0,191.5
55,2008,2007-11-07,atl,phx,105,96,190.0,-230.0,5.0,207.0
56,2008,2007-11-07,ind,lac,89,104,-290.0,240.0,6.5,207.5
57,2008,2007-11-07,phi,cha,94,63,-195.0,165.0,4.0,189.0
58,2008,2007-11-07,bos,den,119,93,-295.0,245.0,6.5,202.5
59,2008,2007-11-07,sa,mia,88,78,-1200.0,800.0,11.5,180.5
60,2008,2007-11-07,utah,cle,103,101,-500.0,400.0,9.0,194.5
61,2008,2007-11-07,okc,mem,98,105,-110.0,-110.0,0.0,218.5
62,2008,2007-11-07,por,no,93,90,125.0,-145.0,2.5,201.5
63,2008,2007-11-08,bkn,wsh,87,85,-275.0,235.0,6.0,190.0
64,2008,2007-11-08,chi,det,97,93,-120.0,100.0,1.0,182.0
65,2008,2007-11-08,gs,dal,115,120,275.0,-325.0,7.5,216.0
66,2008,2007-11-09,phi,tor,103,105,110.0,-130.0,2.0,187.5
67,2008,2007-11-09,cha,ind,96,87,-125.0,105.0,1.5,195.0
68,2008,2007-11-09,bos,atl,106,83,-430.0,360.0,8.5,193.0
69,2008,2007-11-09,ny,orl,102,112,-115.0,-105.0,1.0,201.5
70,2008,2007-11-09,mia,phx,101,106,315.0,-375.0,8.0,195.5
71,2008,2007-11-09,det,lac,103,79,-375.0,315.0,8.0,191.5
72,2008,2007-11-09,no,sa,85,97,145.0,-165.0,3.5,186.0
73,2008,2007-11-09,wsh,den,92,118,110.0,-130.0,2.0,209.5
74,2008,2007-11-09,hou,mil,104,88,-475.0,395.0,9.0,188.5
75,2008,2007-11-09,por,mem,110,98,-140.0,120.0,2.5,208.5
76,2008,2007-11-09,okc,utah,101,103,240.0,-290.0,6.5,211.5
77,2008,2007-11-09,lal,min,107,93,-800.0,600.0,11.0,204.0
78,2008,2007-11-09,sac,cle,91,93,205.0,-245.0,5.5,192.5
79,2008,2007-11-10,ind,den,106,113,105.0,-125.0,1.5,212.0
80,2008,2007-11-10,orl,phx,96,106,105.0,-125.0,1.5,209.0
81,2008,2007-11-10,bkn,bos,101,112,130.0,-150.0,3.0,182.5
82,2008,2007-11-10,chi,tor,71,101,-260.0,220.0,6.5,189.5
83,2008,2007-11-10,utah,mem,118,94,-600.0,475.0,10.0,216.0
84,2008,2007-11-10,sac,min,100,93,-200.0,170.0,4.5,193.0
85,2008,2007-11-10,por,dal,91,82,290.0,-350.0,7.5,201.5
86,2008,2007-11-11,atl,wsh,90,101,-230.0,190.0,5.5,192.5
87,2008,2007-11-11,cha,hou,82,85,235.0,-275.0,6.5,186.0
88,2008,2007-11-11,phi,no,72,93,130.0,-150.0,3.0,190.5
89,2008,2007-11-11,ny,mia,72,75,-150.0,130.0,3.0,192.0
90,2008,2007-11-11,sa,mil,113,88,-700.0,550.0,10.5,186.5
91,2008,2007-11-11,okc,det,103,107,235.0,-275.0,6.5,196.0
92,2008,2007-11-11,lac,cle,95,103,-110.0,-110.0,1.0,192.0
93,2008,2007-11-12,bkn,no,82,84,110.0,-130.0,2.0,184.5
94,2008,2007-11-12,den,cle,122,100,-335.0,285.0,7.5,208.0
95,2008,2007-11-12,utah,sac,117,93,-1700.0,1050.0,14.0,206.0
96,2008,2007-11-13,orl,okc,103,76,-650.0,525.0,10.5,209.0
97,2008,2007-11-13,cha,mia,91,76,-125.0,105.0,1.5,178.0
98,2008,2007-11-13,ind,bos,86,101,250.0,-300.0,7.0,198.0
99,2008,2007-11-13,mem,hou,105,99,230.0,-270.0,6.5,201.5
100,2008,2007-11-13,dal,phi,99,84,-800.0,600.0,11.0,192.5
101,2008,2007-11-13,sa,lal,107,92,-365.0,305.0,8.0,199.0
102,2008,2007-11-13,phx,ny,113,102,-1400.0,900.0,13.0,210.5
103,2008,2007-11-13,por,det,102,94,190.0,-230.0,5.0,190.0
104,2008,2007-11-14,wsh,ind,103,90,-240.0,200.0,5.5,200.5
105,2008,2007-11-14,cle,orl,116,117,-150.0,130.0,3.0,190.5
106,2008,2007-11-14,tor,utah,88,92,-110.0,-110.0,0.0,204.0
107,2008,2007-11-14,atl,cha,117,109,-240.0,200.0,5.5,188.0
108,2008,2007-11-14,mia,okc,95,104,-290.0,240.0,7.0,191.5
109,2008,2007-11-14,bos,bkn,91,69,-650.0,525.0,10.0,181.0
110,2008,2007-11-14,min,sac,108,103,-130.0,110.0,2.0,190.5
111,2008,2007-11-14,mil,mem,102,99,-260.0,220.0,6.5,206.5
112,2008,2007-11-14,no,phi,95,76,-450.0,370.0,8.5,187.5
113,2008,2007-11-14,den,por,110,93,-700.0,550.0,11.0,212.0
114,2008,2007-11-14,hou,lal,90,93,-290.0,240.0,6.5,199.5
115,2008,2007-11-14,lac,ny,84,81,-325.0,275.0,7.5,200.5
116,2008,2007-11-14,gs,det,104,111,100.0,-120.0,1.0,211.0
117,2008,2007-11-15,dal,sa,105,92,-125.0,105.0,1.5,189.5
118,2008,2007-11-15,phx,chi,112,102,-425.0,355.0,8.5,204.0
