season,avg_overround,avg_p_home_fair,home_win_rate,n_games
2008,0.0346295298141174,0.608673407360188,0.609885931558935,1315
2009,0.0367835602137016,0.606268954450305,0.612167300380228,1315
2010,0.0374229006480171,0.606323934835018,0.598779557589626,1311
2011,0.0373596222865169,0.60434143688108,0.607932875667429,1311
2012,0.036684673028159,0.602476410132846,0.593109869646183,1074
2013,0.0375482172457098,0.604814175010656,0.613394216133942,1314
2014,0.0386621812656347,0.593641059101702,0.579226686884003,1319
2015,0.037089262925418,0.586311853605023,0.575896262395118,1311
2016,0.0364710676417101,0.584521580835538,0.594224924012158,1316
2017,0.0367884328477415,0.590445404378819,0.582887700534759,1309
2018,0.0420149915427648,0.580957028930274,0.586890243902439,1312
2019,0.041948520167052,0.582334135495467,0.590701219512195,1312
2020,0.0411701678660149,0.565012643980649,0.546806649168854,1143
2021,0.0356334665311569,0.541344557714108,0.546541417591802,1171
2022,0.0358582541536716,0.568462706844949,0.547996976568405,1323
2023,0.0354582374168321,0.567249490089525,0.600903614457831,664
